_id,Código único,Barrio,Lados de manzana por estrato 1,Lados de manzana por estrato 2,Lados de manzana por estrato 3,Lados de manzana por estrato 4,Lados de manzana por estrato 5,Lados de manzana por estrato 6,Sin vivienda,Estrato moda
287,1913,El Cedro, -, -,10,103, -, -,30,4
288,1914,Champagnat, -, -,4,92, -, -,19,4
289,1915,Urbanización Colseguros, -, -,4,112, -, -,17,4
290,1916,Los Cambulos, -, -,2,60,22, -,45,4
291,1917,El Mortiñal,12,34, -, -, -, -,6,2
292,1918,Urbanización Militar, -, -, -,9,4, -,43,4
293,1919,Cuarto de Legua   Guadalupe, -, -, -,1,41, -,15,5
294,1921,Nueva Tequendama, -, -, -,5,113, -,47,5
295,1922,Camino Real   J. Borrero S., -, -,4,27,40, -,26,5
296,1923,Camino Real   Los Fundadores,10,2, -,6,16, -,17,5
297,1981,Sector Altos de Santa Isabel,2,2, -, -,2,3,7,6
298,1982,Santa Barbara, -, -, -, -,4,2,1,5
299,1983,Tejares   Cristales, -,1, -, -,5,65,41,6
300,1984,Unidad Res. Santiago de Cali, -, -, -,5,1, -,12,4
301,1985,Unidad Res. El Coliseo, -, -, -,3, -, -,6,4
302,1988,Cañaveralejo   Seguros Patria, -, -, -,20,68,1,42,5
303,1992,Cañaveral , -, -, -, -,10,17,3,6
304,1994,Pampa Linda, -, -, -,2,72, -,52,5
305,1995,Sector Cañaveralejo Guadalupe, -,2,1,5,13, -,35,5
306,1997,Sector Bosque Municipal,3,1, -, -, -, -,14,1
307,1999,U. Dep. A. Galindo   Plaza Toros, -, -, -, -, -, -,8,NR
308,2001,El Cortijo,6,15,1, -, -, -,7,2
309,2002,Belisario Caicedo, -,1,48, -, -, -,11,3
310,2003,Siloé,487,145, -, -, -, -,110,1
311,2004,Lleras Camargo,409, -, -, -, -, -,87,1
312,2005,Belén,97,48,5, -, -, -,50,1
313,2006,Brisas de Mayo,204,8, -, -, -, -,96,1
314,2007,Tierra Blanca,65, -, -, -, -, -,24,1
315,2008,Pueblo Joven,43,1, -, -, -, -,35,1
316,2097,Cementerio   Carabineros, -, -, -, -, -, -,20,NR
317,2098,Venezuela   Urb. Cañaveralejo,51,20,1, -, -, -,53,1
318,2101,Pízamos I,150, -, -, -, -, -,152,1
319,2102,Pízamos II,105, -, -, -, -, -,82,1
320,2103,Calimio Desepaz,163,86, -, -, -, -,266,1
321,2104,El Remanso,144,1, -, -, -, -,67,1
322,2105,Los Líderes,52,1, -, -, -, -,29,1
323,2106,Desepaz Invicali,222, -, -, -, -, -,248,1
324,2107,Compartir,96,96, -, -, -, -,236,1
325,2108,Talanga,177, -, -, -, -, -,188,1
326,2194,Villamercedes I Villa Luz Las Garzas,70, -, -, -, -, -,36,1
327,2195,Pizamos III   Las Dalias,48, -, -, -, -, -,53,1
328,2196,Potrero Grande,609,19, -, -, -, -,16,1
329,2197,Ciudadela del Río   CVC,65,96, -, -, -, -,100,2
330,2198,Valle Grande,1,242, -, -, -, -,232,2
331,2199,Planta de Tratamiento,1, -, -, -, -, -, -,NR
332,2201,Urbanización Ciudad Jardín, -, -, -, -,19,120,85,6
333,2296,Parcelaciones Pance, -, -, -, -,3,213,180,6
334,2297,Urbanización Río Lili, -,13, -, -, -,21,37,6
335,2298,Ciudad Campestre, -, -, -,1,6,23,19,6
